Proteobacteria,36082,
Anaerovibrio,,
Centipeda ,,
Megamonas ,,
Mitsuokella ,,
Pectinatus ,,
Propionispira,,
Schwartzia ,,
Selenomonas,,
Zymophilus ,,
Sporomusaceae ,,
Acetonema ,,
Anaeroarcus ,,
Anaeromusa,,
Anaerosinus ,,
Anaerospora ,,
Dendrosporobacter,,
Desulfosporomusa,,
Pelosinus,,
Propionispora ,,
Psychrosinus ,,
Sporolituus ,,
Sporomusa ,,
Thermosinus,,
Acidaminococcales ,,
Acidaminococcaceae ,,
Acidaminococcus ,,
Phascolarctobacterium,,
Succiniclasticum ,,
Succinispira ,,
Vellionellales,,
Vellionellaceae,,
Allisonella,,
Anaeroglobus ,,
Dialister ,,
Megasphaera,3,
Negativicoccus,,
Veillonella,2,
Quinella,,
Enterobacteriaceae,,
Synechococcus,,

,,
Subphylum Synergistetes,,
Synergistaeota,,
Aminanaerobia,,
,,
 Acetomicrobium,,
 Aminiphilus ,,
,,
 Aminivibrio ,,
 Aminobacterium,,
,,
 Aminomonas ,,
 Anaerobaculum ,,
 Candidatus Tammella ,,
 Cloacibacillus ,,
 Dethiosulfovibrio ,,
,,
 Fretibacterium,,
,,
 Jonquetella ,,
,,
 Lactivibrio,,
,,
 Pyramidobacter ,,
,,
 Synergistes,,
 Thermanaerovibrio ,,
Selenomonas ,,
 Thermovirga,,
Phylum Elusimicrobia,,
 Elusimicrobium,,
,,
 Endomicrobium,,
 Chloracidobacterium,,
 Arenimicrobium,,
 Brevitalea,,
,,
 Pyrinomonas,,
 Aridibacter ,,
,,
 Blastocatella ,,
,,
 Stenotrophobacter ,,
 Tellurimicrobium,,
